Year,Jurisdiction,All students,Average scale score,below Basic,at Basic,at Proficient,at Advanced
2017,National,All students,283,30,36,24,10
2017,National public,All students,282,31,36,24,10
2017,National private,All students,‡,‡,‡,‡,‡
2017,Large city,All students,274,39,34,19,7
2017,Arizona,All students,282,29,37,24,9
2017,Florida,All students,279,34,37,22,7
2017,Indiana,All students,288,25,37,26,12
2017,Louisiana,All students,267,46,35,16,3
2017,Mississippi,All students,271,41,38,18,4
2017,Oklahoma,All students,275,36,40,20,4
2017,Utah,All students,287,25,36,29,10
2015,National,All students,282,29,38,25,8
2015,National public,All students,281,30,38,24,8
2015,National private,All students,‡,‡,‡,‡,‡
2015,Large city,All students,274,38,36,19,6
2015,Arizona,All students,283,28,37,27,8
2015,Florida,All students,275,36,38,21,5
2015,Indiana,All students,287,23,39,30,9
2015,Louisiana,All students,268,43,39,15,3
2015,Mississippi,All students,271,40,38,19,3
2015,Oklahoma,All students,275,33,44,20,3
2015,Utah,All students,286,24,38,30,8
2013,National,All students,285,26,38,27,9
2013,National public,All students,284,27,39,26,8
2013,National private,All students,296,17,36,33,14
2013,Large city,All students,276,35,38,21,6
2013,Arizona,All students,280,31,38,24,7
2013,Florida,All students,281,30,40,24,7
2013,Indiana,All students,288,23,39,28,10
2013,Louisiana,All students,273,36,43,18,3
2013,Mississippi,All students,271,39,40,18,3
2013,Oklahoma,All students,276,32,43,21,4
2013,Utah,All students,284,25,38,29,8
2011,National,All students,284,27,39,26,8
2011,National public,All students,283,28,39,26,8
2011,National private,All students,296,15,37,35,13
2011,Large city,All students,274,37,37,20,6
2011,Arizona,All students,279,32,37,24,7
2011,Florida,All students,278,32,40,22,6
2011,Indiana,All students,285,23,43,27,7
2011,Louisiana,All students,273,37,41,19,3
2011,Mississippi,All students,269,42,39,16,3
2011,Oklahoma,All students,279,28,44,23,4
2011,Utah,All students,283,27,38,28,7
2009,National,All students,283,27,39,26,8
2009,National public,All students,282,29,39,25,7
2009,National private,All students,296,15,37,35,13
2009,Large city,All students,271,40,36,18,5
2009,Arizona,All students,277,33,38,23,6
2009,Florida,All students,279,30,41,23,6
2009,Indiana,All students,287,22,42,29,7
2009,Louisiana,All students,272,38,42,16,4
2009,Mississippi,All students,265,46,39,14,2
2009,Oklahoma,All students,276,32,44,20,3
2009,Utah,All students,284,25,40,29,7
2007,National,All students,281,29,39,25,7
2007,National public,All students,280,30,39,24,7
2007,National private,All students,293,17,38,33,12
2007,Large city,All students,269,43,35,17,5
2007,Arizona,All students,276,34,40,21,5
2007,Florida,All students,277,32,41,22,5
2007,Indiana,All students,285,24,41,28,7
2007,Louisiana,All students,272,36,45,17,2
2007,Mississippi,All students,265,46,40,12,2
2007,Oklahoma,All students,275,34,45,18,3
2007,Utah,All students,281,28,40,26,6
2005,National,All students,279,31,39,24,6
2005,National public,All students,278,32,39,23,6
2005,National private,All students,‡,‡,‡,‡,‡
2005,Large city,All students,265,47,34,15,4
2005,Arizona,All students,274,36,38,21,5
2005,Florida,All students,274,35,39,21,5
2005,Indiana,All students,282,26,44,25,5
2005,Louisiana,All students,268,41,43,14,2
2005,Mississippi,All students,262,48,38,12,1
2005,Oklahoma,All students,271,37,43,18,2
2005,Utah,All students,279,29,42,25,5
2003,National,All students,278,32,39,23,5
2003,National public,All students,276,33,39,22,5
2003,National private,All students,292,18,39,33,10
2003,Large city,All students,262,50,34,14,3
2003,Arizona,All students,271,39,41,18,3
2003,Florida,All students,271,38,38,19,4
2003,Indiana,All students,281,26,43,25,5
2003,Louisiana,All students,266,43,40,15,2
2003,Mississippi,All students,261,53,35,11,1
2003,Oklahoma,All students,272,35,44,18,2
2003,Utah,All students,281,28,41,25,6
2000,National,All students,273,37,38,21,5
2000,National public,All students,272,38,37,20,5
2000,National private,All students,286,21,43,30,6
2000,Large city,All students,—,—,—,—,—
2000,Arizona,All students,269,40,40,17,3
2000,Florida,All students,—,—,—,—,—
2000,Indiana,All students,281,26,44,24,5
2000,Louisiana,All students,259,53,36,10,1
2000,Mississippi,All students,254,58,33,8,1
2000,Oklahoma,All students,270,38,43,17,2
2000,Utah,All students,274,34,42,22,3
2000¹,National,All students,275,34,38,22,5
2000¹,National public,All students,274,35,38,21,5
2000¹,National private,All students,287,21,42,31,6
2000¹,Large city,All students,—,—,—,—,—
2000¹,Arizona,All students,271,38,41,18,3
2000¹,Florida,All students,—,—,—,—,—
2000¹,Indiana,All students,283,24,45,26,5
2000¹,Louisiana,All students,259,52,36,11,1
2000¹,Mississippi,All students,254,59,33,7,1
2000¹,Oklahoma,All students,272,36,46,17,2
2000¹,Utah,All students,275,32,42,23,3
1996,National,All students,270,39,38,20,4
1996,National public,All students,269,41,37,19,4
1996,National private,All students,285,22,44,29,5
1996,Large city,All students,—,—,—,—,—
1996,Arizona,All students,—,—,—,—,—
1996,Florida,All students,—,—,—,—,—
1996,Indiana,All students,—,—,—,—,—
