Year,Jurisdiction,All students,Average scale score,below Basic,at Basic,at Proficient,at Advanced
2017,National,All students,222,32,31,27,9
2017,National public,All students,221,33,31,27,9
2017,National private,All students,‡,‡,‡,‡,‡
2017,Large city,All students,213,42,30,21,7
2017,Arizona,All students,215,39,31,23,7
2017,Florida,All students,228,25,34,30,11
2017,Indiana,All students,226,27,32,30,10
2017,Louisiana,All students,212,44,29,21,6
2017,Mississippi,All students,215,40,33,22,6
2017,Oklahoma,All students,217,37,34,24,5
2017,Utah,All students,225,28,31,31,10
2015,National,All students,223,31,33,27,9
2015,National public,All students,221,32,33,27,8
2015,National private,All students,‡,‡,‡,‡,‡
2015,Large city,All students,214,41,32,21,6
2015,Arizona,All students,215,38,32,23,7
2015,Florida,All students,227,25,36,30,8
2015,Indiana,All students,227,25,35,31,9
2015,Louisiana,All students,216,37,35,23,6
2015,Mississippi,All students,214,40,34,21,5
2015,Oklahoma,All students,222,29,38,27,6
2015,Utah,All students,226,26,34,31,10
2013,National,All students,222,32,33,27,8
2013,National public,All students,221,33,33,26,8
2013,National private,All students,235,18,33,35,14
2013,Large city,All students,212,43,31,20,6
2013,Arizona,All students,213,40,32,22,5
2013,Florida,All students,227,25,36,30,9
2013,Indiana,All students,225,27,36,30,8
2013,Louisiana,All students,210,44,33,19,4
2013,Mississippi,All students,209,47,32,18,3
2013,Oklahoma,All students,217,35,35,24,5
2013,Utah,All students,223,29,34,29,8
2011,National,All students,221,33,34,26,8
2011,National public,All students,220,34,34,25,7
2011,National private,All students,234,19,33,35,13
2011,Large city,All students,211,45,32,18,5
2011,Arizona,All students,212,42,32,21,5
2011,Florida,All students,225,29,36,27,8
2011,Indiana,All students,221,32,35,26,6
2011,Louisiana,All students,210,45,33,19,4
2011,Mississippi,All students,209,45,33,18,4
2011,Oklahoma,All students,215,36,37,22,4
2011,Utah,All students,220,32,35,27,6
2009,National,All students,221,33,34,25,8
2009,National public,All students,220,34,34,24,7
2009,National private,All students,235,19,33,35,13
2009,Large city,All students,210,46,31,18,5
2009,Arizona,All students,210,44,32,20,5
2009,Florida,All students,226,27,37,28,8
2009,Indiana,All students,223,30,36,26,7
2009,Louisiana,All students,207,49,33,16,2
2009,Mississippi,All students,211,45,33,18,4
2009,Oklahoma,All students,217,35,38,23,4
2009,Utah,All students,219,33,36,25,6
2007,National,All students,221,33,34,25,8
2007,National public,All students,220,34,34,24,7
2007,National private,All students,234,19,34,34,13
2007,Large city,All students,208,47,31,17,5
2007,Arizona,All students,210,44,32,20,5
2007,Florida,All students,224,30,36,26,8
2007,Indiana,All students,222,32,35,26,7
2007,Louisiana,All students,207,48,32,17,3
2007,Mississippi,All students,208,49,33,16,3
2007,Oklahoma,All students,217,35,38,22,4
2007,Utah,All students,221,31,35,26,8
2005,National,All students,219,36,33,24,8
2005,National public,All students,217,38,33,23,7
2005,National private,All students,‡,‡,‡,‡,‡
2005,Large city,All students,206,51,29,15,4
2005,Arizona,All students,207,48,28,18,6
2005,Florida,All students,219,35,35,23,7
2005,Indiana,All students,218,36,34,23,7
2005,Louisiana,All students,209,47,33,17,3
2005,Mississippi,All students,204,52,30,15,3
2005,Oklahoma,All students,214,40,35,21,5
