Year,Jurisdiction,School identified as charter,Average scale score
2015,National,Charter school,236
2015,National,Not a charter school,241
2013,National,Charter school,237
2013,National,Not a charter school,242
2011,National,Charter school,237
2011,National,Not a charter school,241
2009,National,Charter school,231
2009,National,Not a charter school,240
2007,National,Charter school,234
2007,National,Not a charter school,240
2005,National,Charter school,232
2005,National,Not a charter school,238
2003,National,Charter school,228
2003,National,Not a charter school,235
2000,National,Charter school,Ñ
2000,National,Not a charter school,Ñ
2000_,National,Charter school,Ñ
2000_,National,Not a charter school,Ñ
1996,National,Charter school,Ñ
1996,National,Not a charter school,Ñ
1996_,National,Charter school,Ñ
1996_,National,Not a charter school,Ñ
1992_,National,Charter school,Ñ
1992_,National,Not a charter school,Ñ
1990_,National,Charter school,Ñ
1990_,National,Not a charter school,Ñ
,,,
