Year,Jurisdiction,"Public or nonpublic school, 5 categories",Average scale score
2015,National,Public,240
2015,National,Other private,na
2015,National,Catholic,247
2015,National,Bureau of Indian Education,na
2015,National,Department of Defense,248
2013,National,Public,241
2013,National,Other private,na
2013,National,Catholic,246
2013,National,Bureau of Indian Education,212
2013,National,Department of Defense,245
2011,National,Public,240
2011,National,Other private,na
2011,National,Catholic,245
2011,National,Bureau of Indian Education,213
2011,National,Department of Defense,241
2009,National,Public,239
2009,National,Other private,na
2009,National,Catholic,245
2009,National,Bureau of Indian Education,207
2009,National,Department of Defense,240
2007,National,Public,239
2007,National,Other private,na
2007,National,Catholic,246
2007,National,Bureau of Indian Education,208
2007,National,Department of Defense,240
2005,National,Public,237
2005,National,Other private,na
2005,National,Catholic,244
2005,National,Bureau of Indian Education,210
2005,National,Department of Defense,239
2003,National,Public,234
2003,National,Other private,245
2003,National,Catholic,244
2003,National,Bureau of Indian Education,na
2003,National,Department of Defense,237
2000,National,Public,224
2000,National,Other private,239
2000,National,Catholic,237
2000,National,Bureau of Indian Education,na
2000,National,Department of Defense,na
2000_,National,Public,226
2000_,National,Other private,239
2000_,National,Catholic,238
2000_,National,Bureau of Indian Education,na
2000_,National,Department of Defense,na
1996,National,Public,222
1996,National,Other private,241
1996,National,Catholic,232
1996,National,Bureau of Indian Education,na
1996,National,Department of Defense,na
1996_,National,Public,222
1996_,National,Other private,247
1996_,National,Catholic,232
1996_,National,Bureau of Indian Education,na
1996_,National,Department of Defense,na
1992_,National,Public,219
1992_,National,Other private,230
1992_,National,Catholic,228
1992_,National,Bureau of Indian Education,na
1992_,National,Department of Defense,na
1990_,National,Public,212
1990_,National,Other private,233
1990_,National,Catholic,219
1990_,National,Bureau of Indian Education,na
1990_,National,Department of Defense,na
,,,
,,,
,,,
,,,
,,,
